listing_url,asking_price_in_usd,expensas_in_ars,latitude,longitude,google_maps,photos,whatsapp,published_on,disposición,luminoso,orientación,superficietotal,superficiecubierta,ambientes,baño,antigüedad,permitemascotas,dormitorio,toilette,aptocrédito,aptoprofesional,cantidadplantas,parrilla,usocomercial,departamentosporpiso,cantidadpisosenedificio,accesoparapersonasconmovilidadreducida,ambiente,solarium,superficiesemicubiertam²,dormitorios,cochera,gimnasio,pileta,baños,coberturacochera,hidromasaje,cocheras,toilettes,frentedelterrenomts,largodelterrenomts,cantidaddedepartamentos,saladejuegos,promotiondescription,tipoderubro,cantidaddeascensores,cantidaddelocalescomerciales,user_views,days,views_per_day,usd_per_m2
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-2-ambientes-palermo-52979262.html,98000,30000.0,-34.5834184,-58.404087,"https://maps.google.com/?q=-34.5834184,-58.404087","['https://imgar.zonapropcdn.com/avisos/1/00/52/97/92/62/1200x1200/1896188949.jpg?isFirstImage=true', 'https://imgar.zonapropcdn.com/avisos/1/00/52/97/92/62/1200x1200/1896188948.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/97/92/62/1200x1200/1896188940.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/97/92/62/1200x1200/1896188950.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/97/92/62/1200x1200/1896188937.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/97/92/62/1200x1200/1896188946.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/97/92/62/1200x1200/1896188942.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/97/92/62/1200x1200/1896188947.jpg']",5491165992023,24-01-2024,Frente,Muy luminoso,S,40,40,2,1,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,15,11,2450.0
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-2-amb-balcon-doble-parrilla-palermo-soho-52912709.html,114000,1.0,-34.5917978,-58.4234218,"https://maps.google.com/?q=-34.5917978,-58.4234218","['https://imgar.zonapropcdn.com/avisos/resize/1/00/52/91/27/09/1200x1200/1894725414.jpg?isFirstImage=true', 'https://imgar.zonapropcdn.com/avisos/resize/1/00/52/91/27/09/1200x1200/1894725415.jpg', 'https://imgar.zonapropcdn.com/avisos/resize/1/00/52/91/27/09/1200x1200/1894725416.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/91/27/09/1200x1200/1894725412.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/91/27/09/1200x1200/1894725410.jpg', 'https://imgar.zonapropcdn.com/avisos/resize/1/00/52/91/27/09/1200x1200/1894725411.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/91/27/09/1200x1200/1894725413.jpg']",,18-01-2024,Frente,,,54,41,2,1,En construcción,,1,1,Apto crédito,,4,,,,,,,,,,,,,,,,,,,,,,,,,,170,27,6,2111.0
https://www.zonaprop.com.ar/propiedades/clasificado/veclappa-lafinur-3200-departamento-2-ambientes-impecables-53014935.html,99000,19500.0,-34.57885220000001,-58.4136051,"https://maps.google.com/?q=-34.57885220000001,-58.4136051","['https://imgar.zonapropcdn.com/avisos/1/00/53/01/49/35/1200x1200/1896977073.jpg?isFirstImage=true', 'https://imgar.zonapropcdn.com/avisos/1/00/53/01/49/35/1200x1200/1896977080.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/53/01/49/35/1200x1200/1896977078.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/53/01/49/35/1200x1200/1896977077.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/53/01/49/35/1200x1200/1896977076.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/53/01/49/35/1200x1200/1896977081.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/53/01/49/35/1200x1200/1896977085.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/53/01/49/35/1200x1200/1896977083.jpg']",,05-02-2024,,Muy luminoso,,30,30,2,1,50,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,8,21,3300.0
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-uruguay-800-venta-ambiente-subdividido-en-dos-amb-52842048.html,51000,,-34.5987945,-58.38669719999996,"https://maps.google.com/?q=-34.5987945,-58.38669719999996","['https://imgar.zonapropcdn.com/avisos/1/00/52/84/20/48/1200x1200/1893203065.jpg?isFirstImage=true', 'https://imgar.zonapropcdn.com/avisos/1/00/52/84/20/48/1200x1200/1893203068.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/84/20/48/1200x1200/1893203060.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/84/20/48/1200x1200/1893203067.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/84/20/48/1200x1200/1893203066.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/84/20/48/1200x1200/1893203064.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/84/20/48/1200x1200/1893203061.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/84/20/48/1200x1200/1893203062.jpg']",5491145506247,09-01-2024,Lateral,Luminoso,N,29,29,2,1,40,,1,,Apto crédito,,1,,,4,8,,,,,,,,,,,,,,,,,,,,,,170,42,5,1758.0
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-monoambiente-con-balcon-en-5-piso-con-vista-abierta.-52855725.html,75000,,-34.5920267,-58.4334159,"https://maps.google.com/?q=-34.5920267,-58.4334159","['https://imgar.zonapropcdn.com/avisos/1/00/52/85/57/25/1200x1200/1893501167.jpg?isFirstImage=true', 'https://imgar.zonapropcdn.com/avisos/1/00/52/85/57/25/1200x1200/1893501164.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/85/57/25/1200x1200/1893501166.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/85/57/25/1200x1200/1893501162.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/85/57/25/1200x1200/1893501163.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/85/57/25/1200x1200/1893501161.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/85/57/25/1200x1200/1893501165.jpg']",,02-01-2024,,,,34,30,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,171,37,5,2205.0
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-excepcional-departamento-de-2-ambientes-con-balcon-al-52978367.html,85000,39500.0,-34.5968009595,-58.3807036646,"https://maps.google.com/?q=-34.5968009595,-58.3807036646","['https://imgar.zonapropcdn.com/avisos/1/00/52/97/83/67/1200x1200/1896168936.jpg?isFirstImage=true', 'https://imgar.zonapropcdn.com/avisos/1/00/52/97/83/67/1200x1200/1896168932.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/97/83/67/1200x1200/1896168943.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/97/83/67/1200x1200/1896168945.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/97/83/67/1200x1200/1896168947.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/97/83/67/1200x1200/1896168942.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/97/83/67/1200x1200/1896168950.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/97/83/67/1200x1200/1896168929.jpg']",5491122641099,26-01-2024,Frente,,,42,40,2,1,40,,1,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,166,15,11,2023.0
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-monoambiente-barrio-norte-ideal-inversion-y-o-52939214.html,55000,15000.0,No se encontró la latitud,No se encontró la longitud,"https://maps.google.com/?q=No se encontró la latitud,No se encontró la longitud","['https://imgar.zonapropcdn.com/avisos/resize/1/00/52/93/92/14/1200x1200/1895306766.jpg?isFirstImage=true', 'https://imgar.zonapropcdn.com/avisos/resize/1/00/52/93/92/14/1200x1200/1895306777.jpg', 'https://imgar.zonapropcdn.com/avisos/resize/1/00/52/93/92/14/1200x1200/1895306778.jpg', 'https://imgar.zonapropcdn.com/avisos/resize/1/00/52/93/92/14/1200x1200/1895306769.jpg', 'https://imgar.zonapropcdn.com/avisos/resize/1/00/52/93/92/14/1200x1200/1895306767.jpg', 'https://imgar.zonapropcdn.com/avisos/resize/1/00/52/93/92/14/1200x1200/1895306770.jpg', 'https://imgar.zonapropcdn.com/avisos/resize/1/00/52/93/92/14/1200x1200/1895306771.jpg', 'https://imgar.zonapropcdn.com/avisos/resize/1/00/52/93/92/14/1200x1200/1895306774.jpg']",,22-01-2024,Contrafrente,,,19,19,,1,60,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,166,22,7,2894.0
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-depto-3-amb-frente-apto-profesional-palermo!-53014234.html,76000,49044.0,-34.5882064,-58.4197608,"https://maps.google.com/?q=-34.5882064,-58.4197608","['https://imgar.zonapropcdn.com/avisos/resize/1/00/53/01/42/34/1200x1200/1896960476.jpg?isFirstImage=true', 'https://imgar.zonapropcdn.com/avisos/resize/1/00/53/01/42/34/1200x1200/1896960466.jpg', 'https://imgar.zonapropcdn.com/avisos/resize/1/00/53/01/42/34/1200x1200/1896960472.jpg', 'https://imgar.zonapropcdn.com/avisos/resize/1/00/53/01/42/34/1200x1200/1896960477.jpg', 'https://imgar.zonapropcdn.com/avisos/resize/1/00/53/01/42/34/1200x1200/1896960468.jpg', 'https://imgar.zonapropcdn.com/avisos/resize/1/00/53/01/42/34/1200x1200/1896960464.jpg', 'https://imgar.zonapropcdn.com/avisos/resize/1/00/53/01/42/34/1200x1200/1896960480.jpg', 'https://imgar.zonapropcdn.com/avisos/resize/1/00/53/01/42/34/1200x1200/1896960479.jpg']",,08-02-2024,Frente,,,43,38,3,1,54,,,,,,5 o más,,,,,,,,,2,,,,,,,,,,,,,,,,,165,8,20,1767.0
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-2-ambientes-con-patio-en-palermo-52988449.html,75000,4000.0,-34.5965254,-58.4210222,"https://maps.google.com/?q=-34.5965254,-58.4210222","['https://imgar.zonapropcdn.com/avisos/1/00/52/98/84/49/1200x1200/1896389644.jpg?isFirstImage=true', 'https://imgar.zonapropcdn.com/avisos/1/00/52/98/84/49/1200x1200/1896389642.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/98/84/49/1200x1200/1896389643.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/98/84/49/1200x1200/1896389645.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/98/84/49/1200x1200/1896389663.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/98/84/49/1200x1200/1896389672.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/98/84/49/1200x1200/1896389647.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/98/84/49/1200x1200/1896389656.jpg']",,26-01-2024,,Muy luminoso,,42,,2,1,20,,1,,,,3,,,,,,,,0,,,,,,,,,,,,,,,,,,167,13,12,1785.0
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-honduras-y-salguero.-dos-ambientes-lleno-de-luz-y-sol.-53037162.html,105000,35000.0,-34.5942192,-58.4166459,"https://maps.google.com/?q=-34.5942192,-58.4166459","['https://imgar.zonapropcdn.com/avisos/1/00/53/03/71/62/1200x1200/1897466756.jpg?isFirstImage=true', 'https://imgar.zonapropcdn.com/avisos/1/00/53/03/71/62/1200x1200/1897466759.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/53/03/71/62/1200x1200/1897466747.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/53/03/71/62/1200x1200/1897466751.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/53/03/71/62/1200x1200/1897466765.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/53/03/71/62/1200x1200/1897466748.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/53/03/71/62/1200x1200/1897652646.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/53/03/71/62/1200x1200/1897466757.jpg']",5491141141001,05-02-2024,Frente,,,51,36,2,1,45,,1,,,,5 o más,,,,,,,,0,,,,,,,,,,,,,,,,,,164,3,54,2058.0
