listing_url,asking_price_in_usd,expensas_in_ars,latitude,longitude,google_maps,photos,whatsapp,published_on,disposición,luminoso,orientación,superficietotal,superficiecubierta,ambientes,dormitorio,baño,antigüedad,aptoprofesional,cantidadplantas,superficiesemicubiertam²,dormitorios,baños,aptocrédito,parrilla,pileta,solarium,promotiondescription,toilette,ambiente,permitemascotas,departamentosporpiso,cantidadpisosenedificio,gimnasio,cochera,hidromasaje,usocomercial,cantidaddeascensores,accesoparapersonasconmovilidadreducida,frentedelterrenomts,largodelterrenomts,coberturacochera,cantidaddedepartamentos,cantidaddecocheras,cantidaddelocalescomerciales,cantidaddeoficinas,saladejuegos,cocheras,estadodelinmueble,categoríadeledificio,estadodeledificio,etapa,tipoedificio,permitemenoresde12,cantidaddormitorios
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-apto-profesional-con-balcon-en-venta-52423952.html,118000,53000.0,-34.5822742,-58.4094659,"https://maps.google.com/?q=-34.5822742,-58.4094659","['https://imgar.zonapropcdn.com/avisos/1/00/52/42/39/52/1200x1200/1883382592.jpg?isFirstImage=true', 'https://imgar.zonapropcdn.com/avisos/1/00/52/42/39/52/1200x1200/1883382583.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/42/39/52/1200x1200/1883382574.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/42/39/52/1200x1200/1883382582.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/42/39/52/1200x1200/1883382587.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/42/39/52/1200x1200/1883382584.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/42/39/52/1200x1200/1895110543.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/42/39/52/1200x1200/1883382585.jpg']",5491140700014,29-01-2024,Frente,,N,50,47,2,1,1,10,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-de-3-ambientes-al-frente-villa-crespo-52431698.html,95000,28000.0,-34.5952278,-58.4455391,"https://maps.google.com/?q=-34.5952278,-58.4455391","['https://imgar.zonapropcdn.com/avisos/1/00/52/43/16/98/1200x1200/1883556281.jpg?isFirstImage=true', 'https://imgar.zonapropcdn.com/avisos/1/00/52/43/16/98/1200x1200/1883556262.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/43/16/98/1200x1200/1883556267.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/43/16/98/1200x1200/1883556275.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/43/16/98/1200x1200/1883556280.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/43/16/98/1200x1200/1883556276.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/43/16/98/1200x1200/1883556274.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/43/16/98/1200x1200/1883556266.jpg']",,29-01-2024,Frente,,,71,64,3,,,,,1,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-paraguay-al-4500-frente-60-m-sup2--todo-sol-51538773.html,119500,60000.0,-34.5841554959184,-58.4247836714286,"https://maps.google.com/?q=-34.5841554959184,-58.4247836714286","['https://imgar.zonapropcdn.com/avisos/1/00/51/53/87/73/1200x1200/1863515543.jpg?isFirstImage=true', 'https://imgar.zonapropcdn.com/avisos/1/00/51/53/87/73/1200x1200/1863515536.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/51/53/87/73/1200x1200/1863515562.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/51/53/87/73/1200x1200/1863515544.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/51/53/87/73/1200x1200/1863515548.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/51/53/87/73/1200x1200/1863515558.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/51/53/87/73/1200x1200/1863515539.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/51/53/87/73/1200x1200/1863515541.jpg']",5491163002533,08-01-2024,Frente,Muy luminoso,,60,60,3,,1,40,,1,0,2,,Apto crédito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.zonaprop.com.ar/propiedades/emprendimiento/ememvein-terre-la-imprenta-52591363.html,94000,,-34.5682215,-58.4371057,"https://maps.google.com/?q=-34.5682215,-58.4371057","['https://imgar.zonapropcdn.com/avisos/1/00/52/59/13/63/1200x1200/1894997302.jpg?isFirstImage=true', 'https://imgar.zonapropcdn.com/avisos/1/00/52/59/13/63/1200x1200/1894985330.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/59/13/63/1200x1200/1892333766.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/59/13/63/1200x1200/1894997017.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/59/13/63/1200x1200/1889841733.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/59/13/63/1200x1200/1892333782.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/59/13/63/1200x1200/1892333764.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/59/13/63/1200x1200/1893568321.jpg']",5491164820416,15-01-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-gurruchaga-al-500-frente-87-m-sup2--apto-prof-balcon-51545230.html,109000,16300.0,-34.5966816877551,-58.4405421469388,"https://maps.google.com/?q=-34.5966816877551,-58.4405421469388","['https://imgar.zonapropcdn.com/avisos/1/00/51/54/52/30/1200x1200/1863650928.jpg?isFirstImage=true', 'https://imgar.zonapropcdn.com/avisos/1/00/51/54/52/30/1200x1200/1863650916.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/51/54/52/30/1200x1200/1863650924.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/51/54/52/30/1200x1200/1863650925.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/51/54/52/30/1200x1200/1863650920.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/51/54/52/30/1200x1200/1863650919.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/51/54/52/30/1200x1200/1863650918.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/51/54/52/30/1200x1200/1863650923.jpg']",5491163082573,25-01-2024,Frente,Muy luminoso,,87,76,4,,,40,,1,0,3,,Apto crédito,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-monoambiente-listo-para-entrar-villa-52342682.html,65000,7500.0,-34.5941573,-58.4421235,"https://maps.google.com/?q=-34.5941573,-58.4421235","['https://imgar.zonapropcdn.com/avisos/1/00/52/34/26/82/1200x1200/1881549503.jpg?isFirstImage=true', 'https://imgar.zonapropcdn.com/avisos/1/00/52/34/26/82/1200x1200/1881549501.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/34/26/82/1200x1200/1881549505.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/34/26/82/1200x1200/1881549500.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/34/26/82/1200x1200/1881549499.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/34/26/82/1200x1200/1881549506.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/34/26/82/1200x1200/1881549504.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/34/26/82/1200x1200/1881549507.jpg']",,29-01-2024,Frente,Muy luminoso,,35,31,,,1,,,1,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-monoambiente-en-construccion-52412327.html,101400,0.0,-34.5882067163,-58.4147575613,"https://maps.google.com/?q=-34.5882067163,-58.4147575613","['https://imgar.zonapropcdn.com/avisos/1/00/52/41/23/27/1200x1200/1889211267.jpg?isFirstImage=true', 'https://imgar.zonapropcdn.com/avisos/1/00/52/41/23/27/1200x1200/1889211269.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/41/23/27/1200x1200/1889211268.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/41/23/27/1200x1200/1889211266.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/41/23/27/1200x1200/1883475350.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/41/23/27/1200x1200/1883475510.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/41/23/27/1200x1200/1883475374.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/41/23/27/1200x1200/1883475373.jpg']",,29-01-2024,Frente,Muy luminoso,,39,34,,,1,,,4,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.zonaprop.com.ar/propiedades/emprendimiento/ememvein-julian-alvarez-2362-52443203.html,110000,,-34.5876241,-58.4163855,"https://maps.google.com/?q=-34.5876241,-58.4163855","['https://imgar.zonapropcdn.com/avisos/1/00/52/44/32/03/1200x1200/1883799412.jpg?isFirstImage=true', 'https://imgar.zonapropcdn.com/avisos/1/00/52/44/32/03/1200x1200/1883799411.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/44/32/03/1200x1200/1883799410.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/44/32/03/1200x1200/1883799416.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/44/32/03/1200x1200/1883799414.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/44/32/03/1200x1200/1883799409.jpg']",5491169327557,22-12-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-de-3-ambientes-con-renta-en-colegiales.-51765154.html,83000,47000.0,-34.5793945,-58.453519,"https://maps.google.com/?q=-34.5793945,-58.453519","['https://imgar.zonapropcdn.com/avisos/1/00/51/76/51/54/1200x1200/1868472533.jpg?isFirstImage=true', 'https://imgar.zonapropcdn.com/avisos/1/00/51/76/51/54/1200x1200/1868472529.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/51/76/51/54/1200x1200/1868472532.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/51/76/51/54/1200x1200/1868472530.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/51/76/51/54/1200x1200/1868472531.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/51/76/51/54/1200x1200/1868472535.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/51/76/51/54/1200x1200/1868472527.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/51/76/51/54/1200x1200/1868472534.jpg']",,29-01-2024,Frente,,SE,50,50,3,,1,40,,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-monoambiente-en-venta-en-villa-crespo-52803035.html,92500,,-34.59784,-58.450002,"https://maps.google.com/?q=-34.59784,-58.450002","['https://imgar.zonapropcdn.com/avisos/1/00/52/80/30/35/1200x1200/1892316873.jpg?isFirstImage=true', 'https://imgar.zonapropcdn.com/avisos/1/00/52/80/30/35/1200x1200/1892316875.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/80/30/35/1200x1200/1892316879.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/80/30/35/1200x1200/1892316888.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/80/30/35/1200x1200/1892316876.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/80/30/35/1200x1200/1892316893.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/80/30/35/1200x1200/1892316896.jpg', 'https://imgar.zonapropcdn.com/avisos/1/00/52/80/30/35/1200x1200/1892316877.jpg']",5491161164949,29-01-2024,Frente,,N,49,46,2,1,1,,,,,,,,,,,,,,,3,8,,,,,,,,,,,,,,,,,,,,,,
